source_id,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,l,b,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,distance,pm_l_poleski,pm_b_poleski,galactic distance,circular velocity,LSR velocity,mu_l_sol,mu_b_sol,mu_l_rot,mu_b_rot,Peculiar Velocity,peculiar_mu_l,peculiar_mu_b,dist_err,SpType,Mod_SpType,SpColor,Name,Mx,Mx_err,Mo,Mo_err,Trace Time
5336957010898124160,170.23817252151974,0.008774157613515854,-61.91670671055608,0.009544741362333298,-5.421032061547652,0.012438164092600346,1.3700031073878873,0.011767985299229622,0.32925822598102933,0.011463727802038193,nan,nan,11.589363098144531,292.49852714674694,-0.8918067117070271,12.270934104919434,10.759902000427246,1.5110321044921875,3.03712989104672,-5.567951674993604,-0.5122609408455543,7.8560253894545635,222.56671751604506,-220.47262223549708,-1.054611102383597,-0.5187441308440925,-5.428597657240247,-0.018013469887746873,13.18075554666247,0.9152570846302401,0.024496659886285126,0.10574323622942539,O9.5Ve,xkcd:dark blue,xkcd:blue,1A 1118-61,,,,,6.267321800576746
5334851450481641088,176.86894042633617,0.007541968487203121,-61.953719225831875,0.008998828940093517,-6.225580251990721,0.01041429303586483,2.361537685037365,0.011920752003788948,0.12669559944899778,0.010234012268483639,nan,nan,12.255293846130371,295.48972809721556,-0.00970401441105653,13.309616088867188,11.227763175964355,2.081852912902832,7.892933964155221,-6.606609744728988,0.8291063820044122,8.763800120419218,223.52091675977692,-193.7528220168817,-0.4170130760677609,-0.20310608662182214,-5.372222021128227,2.7060920841833756e-05,49.25833635059616,-0.8173746475330006,1.0321854077053925,0.6375626570677606,B2Iae,xkcd:dark green,xkcd:green,1E 1145.1-6141,1.7,0.3,14.0,4.0,-0.042135065702120715
6053076566300433920,183.31156879290245,0.012357387691736221,-64.87513252303748,0.015193149447441101,-5.95305662663964,0.01588580757379532,0.449629791184431,0.02075292356312275,0.26448691327892004,0.01766935922205448,nan,nan,13.976888656616211,298.89007133029565,-2.303521643360621,14.39801025390625,13.351907730102539,1.046102523803711,3.7809054051208566,-5.958118420264099,-0.37666303137996027,7.449418244846888,222.10444742848472,-219.8306787168525,-0.8942614068632253,-0.40872604268783935,-5.393397656845806,-0.06092405130983405,6.1364723359412885,0.3295406434449326,0.09298706261771314,0.25258783113112304,B5V,xkcd:red,xkcd:red,1ES 1210-64.6,,,,,22.01617155184249
5255509901121774976,154.7315592681715,0.00934557057917118,-58.94609420856299,0.009438585489988327,-6.454306520313594,0.013439311645925045,2.256007949459996,0.01335159968584776,0.2273178405234294,0.010232986882328987,nan,nan,12.269230842590332,284.351776705235,-1.6900802660463154,12.882477760314941,11.495985984802246,1.3864917755126953,4.3991267807989365,-6.6488043210162475,-1.5940657536704546,8.547292409868648,223.3022676369862,-212.96405708690497,-0.6634443517918205,-0.34946803248438035,-5.444675837248132,0.0016679885391937266,28.32721701626133,-0.5406841319762945,-1.2462657097252678,0.19803200020711922,O6V((f)),xkcd:blue,xkcd:blue,1FGL J1018.6-5856,2.0,,22.9,,3.816836880007747
1979911002134040960,330.4091919702234,0.0112070357427001,50.16795238313883,0.011057302355766296,2.364625293266044,0.014718983322381973,-0.2937024864956449,0.013353955931961536,0.8781947661310571,0.013396814465522766,nan,nan,9.304606437683105,97.24776932144769,-4.041208697923339,9.407649040222168,9.073572158813477,0.3340768814086914,1.1386995670739004,1.7284177853776819,-1.6402090986570457,8.716439817701456,223.47353491258164,213.5213484311505,2.3028503458441034,-1.5629398824262077,-5.196815291195641,-0.07075834955835932,24.94903946557588,4.622382730729219,-0.0065108666724786185,0.017370801353402254,B3e,xkcd:green,xkcd:green,1H 2202+501,,,,,8.869815028117925
2021785421455305344,295.5465223645784,0.03207533434033394,25.934890350462474,0.04769733175635338,-1.953244017446547,0.0427125059068203,-3.987108346450195,0.05859220772981644,0.019283663596520964,0.060263168066740036,nan,nan,17.05453872680664,61.58010557440001,1.3548851543347347,18.785175323486328,15.808351516723633,2.9768238067626953,51.85736595096036,-4.428399138706507,-0.3185533335675472,48.37853309750426,238.97542281770822,35.02942981289191,0.012309721192800972,-0.02926528515580618,-1.3106064521009737,0.015342190572350652,773.0265682081879,-3.1301024077983346,-0.3046302389840917,162.0588921891883,,xkcd:black,xkcd:grey,1RXS J194211.9+255552,,,,,-15.311679526250456
2033989790047905024,300.09104899633587,0.014430977404117584,32.18973933161206,0.017375720664858818,-2.850743997098801,0.02021029405295849,-4.300169718523636,0.023098601028323174,0.06746486507910339,0.021092984825372696,nan,nan,15.064558029174805,68.98602751827119,1.1341894069944143,16.446447372436523,13.904094696044922,2.5423526763916016,14.82253019890409,-5.158080851424149,0.11136819686971562,14.196091749210199,227.77929350001756,125.28525571703477,0.07408075150879062,-0.1034825141147826,-3.7200864746749893,0.023215381902318248,107.08637018851347,-1.5120751282579503,0.19163532908217995,4.634284885807226,early BV or mid BIII,xkcd:black,xkcd:grey,2MASS J20002185+3211232,,,,,36.66290718486261
5862285700835092352,195.49460523930014,0.05994626507163048,-63.96912167623403,0.06522805243730545,-6.287527903127519,0.07625846564769745,-0.5842041216372096,0.09208860248327255,0.07560265052473944,0.08420749753713608,nan,nan,17.30669403076172,304.08825128367016,-1.1210396150921411,19.536026000976562,15.889301300048828,3.6467247009277344,13.227049489128298,-6.308944793395759,-0.26742696616007106,11.00613375283375,225.52220028287795,-142.43815935922726,-0.2642372278063586,-0.11957040166846716,-4.664962569853177,0.012946241375655938,87.09029581650708,-1.3797449957362238,-0.16080280586725984,14.732509105813348,B0-6Ve,xkcd:purple,xkcd:green,2RXP J130159.6-635806,,,,,15.091008480857816
524924310153249920,19.511227046863358,0.007461200468242168,65.29162260285469,0.008893749676644802,-1.2433985583085483,0.009154735133051872,0.7606173957665759,0.011805354617536068,0.1964171573898191,0.011268352158367634,nan,nan,10.520528793334961,125.70997540875491,2.563488419804798,11.24775505065918,9.6738862991333,1.573868751525879,5.091204929798221,-1.3209841517227512,0.6161003720529863,12.189584532266123,226.4251888125325,126.33418646431146,0.6923285413115551,-0.3058317902661893,-2.19541764484616,0.10021264014131061,20.31110987831015,0.1821049518118536,0.821719522177865,0.29207983061034437,B1Iae,xkcd:bright green,xkcd:green,2S 0114+650,,,16.0,2.0,14.978985129558714
5854175187680510336,215.3014007027238,0.0445520356297493,-62.698879401723076,0.0705314502120018,-6.425947989496359,0.05724417790770531,-4.332038707619241,0.09649991244077682,0.08394275522667936,0.10595280677080154,nan,nan,17.756834030151367,313.0200507368387,-1.5986266459253018,nan,nan,nan,11.912880358758727,-7.531517471653763,-1.8263656540237998,8.714391460779739,223.47148004893242,-157.7328510418379,-0.3041543502775108,-0.13326727941324248,-5.391495370824477,0.001955022370295398,141.09552139997047,-1.8358677505517758,-1.6950533969808526,15.03647464664201,B1Ve,xkcd:light purple,xkcd:green,2S 1417-624,,,,,3.151097324159432
6054569565614460800,186.65645139154256,0.012048251926898956,-62.77035949368261,0.013341481797397137,-5.226856654124623,0.015758464112877846,-2.0707848986747575,0.01876610517501831,0.25062115141915803,0.015989607200026512,nan,nan,9.751055717468262,300.0980601666885,-0.03521279949727996,11.023402214050293,8.626957893371582,2.396444320678711,3.9900862091544833,-5.028048922928033,-2.5153338959248557,7.358978661701656,221.99833624767234,-219.98872923150418,-0.8546480728338591,-0.4016333919104285,-5.402589516495102,-0.0009589960648622032,46.22898562528354,1.229188666400928,-2.112741507949565,0.2545671457391046,B1 Ia+,xkcd:red,xkcd:red,3U 1223-62,,,,,0.05039731639429032
5863533199843070208,195.3211964950643,0.008986628614366055,-61.601844813228226,0.010867293924093246,-4.340692264055244,0.012104980647563934,-0.236113209203886,0.015209818258881569,0.5395135891716509,0.014079692773520947,nan,nan,12.647679328918457,304.10270102486777,1.247518814190948,13.952112197875977,11.51938533782959,2.4327268600463867,1.853521431286583,-4.347010190708723,-0.029345879849095056,7.617165624120326,222.29802684324054,-203.57831776442197,-1.885792053660202,-0.8777385436878964,-4.465672113389193,0.052320373983196805,18.948532730150035,2.004453976340672,0.7960722898556045,0.0483713715936614,B2 Vne,xkcd:dark green,xkcd:green,3U 1258-61,,,,,-153.03912352199944
524677469790488960,19.63319348306226,0.01089562103152275,63.74252240557648,0.012050527147948742,-1.6837604152272512,0.013374864123761654,0.5035569322350394,0.016997672617435455,0.13630637395963652,0.01634519174695015,nan,nan,14.304468154907227,125.92351442320867,1.0282648921450845,15.436176300048828,13.246358871459961,2.189817428588867,7.33641407184761,-1.730226018688214,0.3081179062348416,14.114429048573351,227.72788069496804,109.30201136222738,0.48095544705888243,-0.2161015768445379,-1.811672420522221,0.03657127625520521,21.92202237302088,-0.3995090452248753,0.48764820682417426,0.8797467884728718,B0.2Ve,xkcd:purple,xkcd:green,4U 0115+63,,,,,12.01408141758856
168450545792009600,58.84615062234396,0.02955361269414425,31.045836091857545,0.02079164795577526,-1.282117252826291,0.05307381600141525,-1.8690907560201113,0.030308086425065994,1.627402622661778,0.03745640814304352,nan,nan,6.261696815490723,163.0813533466715,-17.136203125538678,6.439853668212891,5.930059909820557,0.509793758392334,0.6144760897364175,0.3095889769659371,-2.245323934218814,9.063394189676286,223.81506681128036,57.77572175230654,5.54632682187915,-1.8486200400580908,-0.4202484622115612,-0.4025983375739546,14.02859774983416,-4.8164893827016515,0.0058944434132315315,0.014142822981115537,B0Ve,xkcd:purple,xkcd:green,4U 0352+309,,,,,27.475025011659326
5613494119551805184,112.2232407535484,0.00904984399676323,-26.108019042809907,0.013213437050580978,-0.8809603649723696,0.012074854224920273,1.7852555092114903,0.018278498202562332,0.09575911638808286,0.017103934660553932,nan,nan,11.602206230163574,240.28158025228282,-4.050429451500062,11.893284797668457,11.109305381774902,0.7839794158935547,10.44286996078056,-1.988821519764489,0.08841583763046885,16.387414946556923,229.0623219574529,-101.0678819335626,-0.05328296322837094,-0.12865991213611175,-1.7691336457601987,0.13122641584444583,9.268480025040333,-0.16640491077591935,0.08584933392213479,1.86524450323855,O5Ve,xkcd:dark blue,xkcd:blue,4U 0728-25,,,,,-164.92006880422628
5334823859608495104,177.0000300154924,0.014049242250621319,-62.20691022592309,0.014256695285439491,-6.226013692435175,0.017029767856001854,1.598218529604734,0.017916958779096603,0.47542377023483023,0.017436819151043892,nan,nan,8.652682304382324,295.61107854733706,-0.2402410763337492,8.823287963867188,8.294997215270996,0.5282907485961914,2.1033866260116976,-6.427093844263796,0.10006839555339678,7.824175411697251,222.53134691257083,-216.06261880551514,-1.566453758689333,-0.759081840935541,-5.108172336273522,-0.00720658730637682,8.9832683691838,0.2475322506990585,0.8663568237953145,0.0771445907813454,B0.2 III,xkcd:red,xkcd:red,4U 1145-619,,,,,-8.642767479368661
5886085557746480000,235.59729827776863,0.01090452540665865,-52.38601199162066,0.00943202618509531,-6.710645355390543,0.014753925614058971,-4.110864296804368,0.013893896713852882,0.12795944829063383,0.015252325683832169,nan,nan,13.163740158081055,327.4196587377088,2.1637003432777564,14.553851127624512,12.017059326171875,2.5367918014526367,7.814975864296505,-7.825490351151889,0.832866806034571,4.622595248672321,217.99687244273056,-214.54204304575433,-0.4663627422348693,-0.20320949523279516,-5.839865807032307,0.1012777789036797,66.0779241611316,-1.5192618018847126,0.9347985223636864,0.9315182167932405,B0 Iab,xkcd:red,xkcd:red,4U 1538-52,,,,,9.35242127476095
4268774695647764352,285.9141280353291,0.19355013966560364,3.2043579681435252,0.19041502475738525,-1.7901359305974884,0.25083205103874207,-4.336556449339966,0.24071171879768372,0.00046904205397502174,0.21388882398605347,nan,nan,18.542234420776367,37.17720468290918,-1.2527903447736417,20.800487518310547,17.094009399414062,3.7064781188964844,2132.004990864324,-4.672635855744124,-0.42045528649616354,2124.729023936921,277.12734416709765,-0.6271579221680412,-0.00042647500470633927,-0.0007882679249116099,-0.03912477239904,-0.0002864680381234722,47012.00390306982,-4.633084608340377,-0.41938055053312845,972219.9456611013,B8-9 IVe,xkcd:dark purple,xkcd:green,4U 1901+03,,,,,10.726575181797035
4309225217336733824,287.4047303861521,0.05965148285031319,9.832011185333132,0.06551249325275421,-2.7485657819302163,0.07393015176057816,-2.455443176178704,0.0764160305261612,0.2326282846644742,0.07313711941242218,nan,nan,16.79393768310547,43.743818692468906,0.47964676300186876,19.09914207458496,15.419151306152344,3.679990768432617,4.298703407637321,-3.454913205416851,1.2835068336695683,6.159145325997152,220.45795678488147,208.87440585703092,-0.11570877554051152,-0.3659084901389248,-4.571030633728803,-0.02375232386534083,42.33514990953391,1.2318262038524637,1.673167647673834,1.35148993122834,O8-9 Ia,xkcd:blue,xkcd:blue,4U 1907+09,,,,,1.3453207271752352
